,企業名,セールスポイント,採用ステータス,初年度年収
10,東京ビッグハウス株式会社 | 【TOKYO BIG HOUSE/東証一部上場ケイアイスター不動産グループ】,「コツコツ頑張る」が必ず結果に【営業】3年目の平均年収831万円 正社員,正社員,"仕事内容 ＊1年の育成期間でプロへ成長＊【1年目で年収500万円も可能】◆賃貸住宅に住んでいる方に、マイホーム購入のメリットを紹介し新築戸建てを提案します
対象となる方 ＊20代若手活躍中＊【学歴＆経験不問】◆普免（AT可）◆32歳まで★「不動産営業に挑戦したい」「稼ぎたい」など、興味がある方はぜひご応募ください！
勤務地 【千葉(柏、船橋)・茨城(守谷)】募集 ＊県内異動有 ＊各拠点ともに最寄駅から徒歩5分の好立地 ＊…
給与 月給:30万円以上＋賞与年2回（6月・12月）※営業成績・顧客満足度等により算出 ※経験・年齢・能力など…
初年度年収 426万円～620万円"
11,クルーガーグループ株式会社 | 自由な月9日休み◆多彩な福利厚生◆NHKパートナー企業の安定性,未経験歓迎♪テレビ業界を応援！【ルートセールス】*1ヶ月半研修 正社員,正社員,"仕事内容 《月収30～40万円を稼いでいる先輩多数♪》担当エリアのお客様へ、公共放送に関する各種手続きなどをご案内します。 ★新規事業を展開予定
対象となる方 《未経験・第二新卒歓迎♪既卒・社会人デビューOK！》＼人柄重視の採用です／ ★ほとんどの先輩が未経験スタート ★学歴・転職回数など不問
勤務地 ☆全国募集！勤務地は希望考慮＆転勤なし ☆UIターン歓迎 ☆駅近オフィス 【関東・甲信越】 ■東京…
給与 ■月給制 【関東・甲信越】25万円〜＋歩合 【北海道・宮城】23万円〜＋歩合 【神奈川】26万円〜 【青森】…
初年度年収 450万円～850万円"
12,株式会社ビッグモーター | 業界No.1の実績＆安定性／転勤なし／残業なし／土日休み,未経験から【事務】デビュー★月給23.98万円～★好きな街で活躍 正社員,正社員,"仕事内容 【100％内勤です♪】クルマの修理に関する受付やデータ入力、電話対応などをお任せ！ ※難しい業務はないので事務未経験の方もご安心ください♪
対象となる方 【未経験／第二新卒歓迎】「事務デビューしたい」「大手企業で働きたい」方も歓迎♪☆20～30代女性活躍中！☆産・育休取得実績も多数でずっと安心！
勤務地 ★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…
給与 【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…
初年度年収 300万円～550万円"
13,株式会社サニックス | ◆東証一部上場企業 ◆初任地は希望勤務地を確約／年間休日115日,東証一部上場企業で働く【営業】★すぐに勤務したい方、大歓迎！ 正社員,正社員,"仕事内容 【 老後の資金足りてますか？サニックスでは1年間で1,000万円稼ぐ社員が珍しくありません 】◎住環境サービスの提案　◆賞与年2回／基本連休
対象となる方 ＊未経験歓迎＊アパレルや工場勤務など異業種出身者がたくさん ／40代の新人も多数　◎高卒以上　◎要運転免許　◆手厚い教育研修を用意
勤務地 中京・関西・中国・四国・九州エリア ※希望勤務地を考慮し配属先を決定 中京 名古屋市 浜松市 羽島…
給与 【1】中京・関西 月給29万1千円 【2】九州・中国・四国 月給26万6千円 ※上記に別途、歩合給、報奨金あ…"
14,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,コツコツ働ける♪【箱詰め・在庫確認スタッフ】未経験歓迎！ 正社員,正社員,"仕事内容 【地道な作業が好きな方は打ってつけのお仕事！】ものづくり工場にて、製品の箱づめ・在庫確認・納品チェック等の業務を担当★5月入社歓迎
対象となる方 【男性多数活躍中】「地道な作業が好き」「作業をすると自分の世界に入って時間を忘れてしまう」そんな方はぜひご応募を！★学歴・経験不問
勤務地 【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ <勤務地一覧> ■北海道 ■東北・北陸…
給与 月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
初年度年収 300万円～500万円"
15,株式会社ビッグモーター | 【業界No.1】最高年収2282万円◆未経験歓迎◆全国で200名採用！,平均年収861万円！【車の販売・買取営業】面接１回！※高卒以上 正社員,正社員,"仕事内容 《ノルマなしの完全反響スタイル！》お客様の来店や問合せに対してクルマの販売や買取を行います。★お客様の3人に1人が契約につながっています。
対象となる方 《意欲重視／未経験・第二新卒歓迎》◆高卒以上　「高収入を実現したい」大歓迎です！ ★クルマに関する知識や営業経験などは一切不問！
勤務地 《全国約300店舗！転勤なし！マイカー通勤OK！》 ★勤務地は最寄り・希望の店舗を選べます。 北海…
給与 月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※ご経験・ご年齢を考慮…
初年度年収 330万円～1500万円"
16,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,ゆとりのある生活を！【工場ラインスタッフ】未経験大歓迎☆ 正社員,正社員,"仕事内容 【年間休日127～190日・無理なく働ける！】 医薬品や半導体分野における生産ラインでの組み立て、加工、箱詰、在庫確認業務などを担当。
対象となる方 【未経験歓迎！】「自分のペースで仕事したい」方へオススメ＜スピード選考！今月中の内定獲得を！※面接1回・私服でOK(履歴書不要)＞
勤務地 【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
給与 月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
初年度年収 300万円～500万円"
17,株式会社ロジカル | コロナ禍・景気にも左右されない安定企業◆面接1回で内定,【ルート営業】前職から10万円以上、給与がUPしたスタッフも！ 正社員,正社員,"仕事内容 《信頼と実績があるから提案しやすい》担当ルートのお客様に向けた、パルシステムブランドの食品や日用品の提案やご案内をお願いします。
対象となる方 《未経験・第二新卒歓迎》学歴・経歴・男女・転職回数不問★安定企業で長く働きたい方、暮らしに身近なお仕事を探している方を歓迎！★平均年齢32歳
勤務地 【駐車場完備でマイカー通勤OK！】希望等を考慮し、東京・神奈川・埼玉の各事業所に配属します。 ＼転…
給与 月給26万7,823円以上＋諸手当＋歩合給 ※固定残業代8万1,323円・月60時間分を含みます（超過分は別途支給…
初年度年収 350万円～400万円"
18,UTコンストラクション株式会社 | 大阪府緊急雇用対策に賛同・東証一部上場グループ,【点検・保守】日勤案件がほとんど/基本土日休み/平均月収29万円 正社員,正社員,"仕事内容 <5月・6月入社歓迎/即入社可・男性活躍中!>研修からスタート！駅ビルや商業施設などの点検・保守等、管理業務 ★殆どが日勤のお仕事★年休120日以上
対象となる方 【未経験/第二新卒歓迎】土日祝休みでカレンダー通りに働ける！ほぼ全員が未経験入社★社宅6割補助！転居を伴う転職の場合、引越費用は全額会社負担！
勤務地 ◎全国のプロジェクト先、各拠点(東京/仙台/大阪/名古屋/福岡) ★U・Iターン歓迎！社宅・寮完備…
給与 月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
初年度年収 300万円～650万円"
19,DSP株式会社 | 初年度年収450万円以上可/産休育休有/大阪府緊急雇用対策に賛同,【総合職(営業/広報/人事/総務など)】やりたいことが見つかる♪ 正社員,正社員,"仕事内容 研修後【営業・広報・人事・総務・経理など】いずれかにてお仕事スタート!★やりたいことを一緒に見つけていきましょう☆
対象となる方 【学歴/経歴一切不問！完全未経験・第二新卒も歓迎！】★ご自身のスキルに自信がない方もぜひご応募ください！当社は全力でサポートしていきます！
勤務地 ★転勤なし/希望勤務地考慮/UIターン歓迎 <本社又は各拠点、プロジェクト先> ■東京都 大田区/…
給与 月給22万円〜50万円 ※上記に固定残業38時間分(4万9千円〜)を含む。超過分は別途支給。 ▼福岡県・熊本…
初年度年収 400万円～1000万円"
20,株式会社ビッグモーター | 月給23万9800円～/月8～10日休/土日休OK/賞与年2回/残業ほぼなし,【サービスフロント(受付事務)】未経験歓迎★高卒以上★転勤なし 正社員,正社員,"仕事内容 【♪入力作業が中心♪】ご来店されたお客様のご案内やパソコン入力、電話対応などをお任せ。事務も接客もほど良く楽しめます♪
対象となる方 【未経験・第二新卒OK／年齢不問】◆高卒以上 ☆育休産休・復帰実績多数あり⇒ライフイベントがあっても安心！しかも結婚祝い金や出産一時金まで！
勤務地 ☆転勤なし！全国募集＆勤務地は希望考慮♪ ☆マイカー通勤OK♪ ☆オープニング募集あり！ ■北海道…
給与 【東京・千葉・埼玉エリア】 ◆月給25万3,600円〜38万5,200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当…
初年度年収 300万円～550万円"
21,株式会社ハマエンジニアリング | 賞与年3回支給★20代で年収450万円超えのも可能／web面接実施中,＼大分・長崎限定採用／ 【半導体メンテスタッフ】※交代勤務 正社員,正社員,"仕事内容 ★年間休日は130日以上！完全週休2日制よりも休めます★◎機械の点検・メンテナンス、設定業務を行っていただきます。※20代～30代が活躍中です！
対象となる方 ★★未経験者・第二新卒も大歓迎★★ ◎学歴・年齢・経験は一切不問 ◎40歳までの方（若年層の長期キャリア形成を図るため）＼ UIJターンも大歓迎 ／
勤務地 ＼＼ 家具付きの寮を完備しています ／／ 長崎もしくは大分のいずれかの希望勤務地 諫早事業所 長崎…
給与 月給170,000円〜400,000円 ＋ 賞与年3回 ＋ 各種手当 ※研修期間は約2週間を予定（条件変更無） ※残業…
初年度年収 280万円～400万円"
22,株式会社テクトン | 「未経験で心配・・・」そんなあなたを応援する会社,Excel、Word、PowerPointをイチから学ぶ！男女不問！【事務職】 正社員,正社員,"仕事内容 ◆未経験でも大丈夫！成長続ける安定企業で、ドキュメント作成・データ入力などの一般事務の仕事に携わりスキルアップして頂きます。
対象となる方 【積極採用中】★未経験・第二新卒・既卒者歓迎！入社後は充実した研修を用意しています！
勤務地 ＜転居を伴う転勤はありません＞ ■本社／東京都新宿区新宿6-29-8 新宿福智ビル5F・6F ■関…
給与 ■月給22万円〜35万円 ※前職給与・経験・年齢・能力などを考慮して、給与額を決定します。 ※30時間分の…
初年度年収 260万円～460万円"
23,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,同期入社多数！【資材管理】★研修充実！※全国募集※未経験歓迎 正社員,正社員,"仕事内容 【こんなにも早く転職できるなんて！という声が多数！】各プロジェクト先にて、資材管理業務全般をお任せ★土日休み・年収600万円以上も可能
対象となる方 ◆20～30代の男性が中心に活躍中◆経験不問！転職回数も不問です！未経験者大歓迎！『年収面でもっと周りに差をつけたい…』そんな方は是非！
勤務地 ★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★全国47都道府県のプロジェクト先(首都圏・東北・関西・中…
給与 ■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…
初年度年収 350万円～500万円"
